"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AU-3","Content of Audit Records","false","","High","L,M,H","Ensure that audit records contain information that establishes the following:

    a. What type of event occurred;

    b. When the event occurred;

    c. Where the event occurred;

    d. Source of the event;

    e. Outcome of the event; and

    f. Identity of any individuals, subjects, or objects/entities associated with the event.",""
"AU-3(1)","Additional Audit Information","true","AU-3","High","M,H","Generate audit records containing the following additional information: [FedRAMP Assignment: session, connection, transaction, or activity duration; for client-server transactions, the number of bytes received and bytes sent; additional informational messages to diagnose or identify the event; characteristics that describe or identify the object or resource being acted upon; individual identities of group account users; full-text of privileged commands].

__ AU-3 (1) Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ For client-server transactions, the number of bytes sent and received gives bidirectional transfer information that can be helpful during an investigation or inquiry.","session, connection, transaction, or activity duration; for client-server transactions, the number of bytes received and bytes sent; additional informational messages to diagnose or identify the event; characteristics that describe or identify the object or resource being acted upon; individual identities of group account users; full-text of privileged commands"
"AU-4","Audit Log Storage Capacity","false","","High","L,M,H","Allocate audit log storage capacity to accommodate [Assignment: organization-defined audit log retention requirements].",""
"AU-5","Response to Audit Logging Process Failures","false","","High","L,M,H","a. Alert [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined time period] in the event of an audit logging process failure; and

    b. Take the following additional actions: [FedRAMP Assignment: overwrite oldest record].","overwrite oldest record"
"AU-5(1)","Storage Capacity Warning","true","AU-5","High","H","Provide a warning to [Assignment: organization-defined personnel, roles, and/or locations] within [Assignment: organization-defined time period] when allocated audit log storage volume reaches [FedRAMP Assignment: 75%, or one month before expected negative impact] of repository maximum audit log storage capacity.","75%, or one month before expected negative impact"
"AU-5(2)","Real-time Alerts","true","AU-5","High","H","Provide an alert within [FedRAMP Assignment: real-time] to [FedRAMP Assignment: service provider personnel with authority to address failed audit events] when the following audit failure events occur: [Assignment: organization-defined audit logging failure events requiring real-time alerts].","real-time
service provider personnel with authority to address failed audit events"
"AU-6","Audit Record Review, Analysis, and Reporting","false","","High","L,M,H","a. Review and analyze system audit records [FedRAMP Assignment: at least weekly] for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity;

    b. Report findings to [Assignment: organization-defined personnel or roles]; and

    c. Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information.

__ AU-6 Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ Coordination between service provider and consumer shall be documented and accepted by the JAB/AO. In multi-tenant environments, capability and means for providing review, analysis, and reporting to consumer for data pertaining to consumer shall be documented.","at least weekly"
"AU-6(1)","Automated Process Integration","true","AU-6","High","M,H","Integrate audit record review, analysis, and reporting processes using [Assignment: organization-defined automated mechanisms].",""
"AU-6(3)","Correlate Audit Record Repositories","true","AU-6","High","M,H","Analyze and correlate audit records across different repositories to gain organization-wide situational awareness.",""
"AU-6(4)","Central Review and Analysis","true","AU-6","High","H","Provide and implement the capability to centrally review and analyze audit records from multiple components within the system.",""
"AU-6(5)","Integrated Analysis of Audit Records","true","AU-6","High","H","Integrate analysis of audit records with analysis of [FedRAMP Assignment: Selection (one-or-more): vulnerability scanning information; performance data; information system monitoring information; penetration test data; [Assignment: organization-defined data/information collected from other sources]] to further enhance the ability to identify inappropriate or unusual activity.","Selection (one-or-more): vulnerability scanning information; performance data; information system monitoring information; penetration test data; [Assignment: organization-defined data/information collected from other sources"
