"identifier","family","base_control","enhancement","is_enhancement","sort_as","name","withdrawn","in_privacy_baseline","in_low_baseline","in_moderate_baseline","in_high_baseline"
"IA-8(6)","IA","IA-8","6","True","IA-08-06","Identification and Authentication (non-organizational Users) | Disassociability","False","False","False","False","False"
"IA-9","IA","IA-9","","False","IA-09-00","Service Identification and Authentication","False","False","False","False","False"
"IA-9(1)","IA","IA-9","1","True","IA-09-01","Service Identification and Authentication | Information Exchange","False","False","False","False","False"
"IA-9(2)","IA","IA-9","2","True","IA-09-02","Service Identification and Authentication | Transmission of Decisions","False","False","False","False","False"
"IA-10","IA","IA-10","","False","IA-10-00","Adaptive Authentication","False","False","False","False","False"
"IA-11","IA","IA-11","","False","IA-11-00","Re-authentication","False","False","True","True","True"
"IA-12","IA","IA-12","","False","IA-12-00","Identity Proofing","False","False","False","True","True"
"IA-12(1)","IA","IA-12","1","True","IA-12-01","Identity Proofing | Supervisor Authorization","False","False","False","False","False"
"IA-12(2)","IA","IA-12","2","True","IA-12-02","Identity Proofing | Identity Evidence","False","False","False","True","True"
"IA-12(3)","IA","IA-12","3","True","IA-12-03","Identity Proofing | Identity Evidence Validation and Verification","False","False","False","True","True"
"IA-12(4)","IA","IA-12","4","True","IA-12-04","Identity Proofing | In-person Validation and Verification","False","False","False","False","True"
"IA-12(5)","IA","IA-12","5","True","IA-12-05","Identity Proofing | Address Confirmation","False","False","False","True","True"
"IA-12(6)","IA","IA-12","6","True","IA-12-06","Identity Proofing | Accept Externally-proofed Identities","False","False","False","False","False"
"IR-1","IR","IR-1","","False","IR-01-00","Policy and Procedures","False","True","True","True","True"
"IR-2","IR","IR-2","","False","IR-02-00","Incident Response Training","False","True","True","True","True"
"IR-2(1)","IR","IR-2","1","True","IR-02-01","Incident Response Training | Simulated Events","False","False","False","False","True"
"IR-2(2)","IR","IR-2","2","True","IR-02-02","Incident Response Training | Automated Training Environments","False","False","False","False","True"
"IR-2(3)","IR","IR-2","3","True","IR-02-03","Incident Response Training | Breach","False","True","False","False","False"
"IR-3","IR","IR-3","","False","IR-03-00","Incident Response Testing","False","True","False","True","True"
"IR-3(1)","IR","IR-3","1","True","IR-03-01","Incident Response Testing | Automated Testing","False","False","False","False","False"
"IR-3(2)","IR","IR-3","2","True","IR-03-02","Incident Response Testing | Coordination with Related Plans","False","False","False","True","True"
"IR-3(3)","IR","IR-3","3","True","IR-03-03","Incident Response Testing | Continuous Improvement","False","False","False","False","False"
"IR-4","IR","IR-4","","False","IR-04-00","Incident Handling","False","True","True","True","True"
"IR-4(1)","IR","IR-4","1","True","IR-04-01","Incident Handling | Automated Incident Handling Processes","False","False","False","True","True"
"IR-4(2)","IR","IR-4","2","True","IR-04-02","Incident Handling | Dynamic Reconfiguration","False","False","False","False","False"
"IR-4(3)","IR","IR-4","3","True","IR-04-03","Incident Handling | Continuity of Operations","False","False","False","False","False"
"IR-4(4)","IR","IR-4","4","True","IR-04-04","Incident Handling | Information Correlation","False","False","False","False","True"
"IR-4(5)","IR","IR-4","5","True","IR-04-05","Incident Handling | Automatic Disabling of System","False","False","False","False","False"
"IR-4(6)","IR","IR-4","6","True","IR-04-06","Incident Handling | Insider Threats","False","False","False","False","False"
