"identifier","family","family_long_name","base_control","enhancement","is_enhancement","sort_as","control_name","assessment_objective","examine","interview","test"
"PE-03(04)","PE","","PE-03","4","True","PE-03-04-02","","lockable physical casings are used to protect <PE-03(04)_ODP system components> from unauthorized access.","","",""
"PE-03(05)","PE","","PE-03","5","True","PE-03-05-00","Physical Access Control | Tamper Protection","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access control; list of security safeguards to detect/prevent physical tampering or alteration of system hardware components; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security responsibilities].","[SELECT FROM: Organizational processes to detect/prevent physical tampering or alteration of system hardware components; mechanisms/security safeguards supporting and/or implementing the detection/prevention of physical tampering/alternation of system hardware components]."
"PE-03(05)_ODP[01]","PE","","PE-03","5","True","PE-03-05-01","","anti-tamper technologies to be employed are defined;","","",""
"PE-03(05)_ODP[02]","PE","","PE-03","5","True","PE-03-05-02","","one or more of the following PARAMETER VALUES is/are selected: {detect; prevent};","","",""
"PE-03(05)_ODP[03]","PE","","PE-03","5","True","PE-03-05-03","","hardware components to be protected from physical tampering or alteration are defined;","","",""
"PE-03(05)","PE","","PE-03","5","True","PE-03-05-04","","<PE-03(05)_ODP[01] anti-tamper technologies> are employed to <PE-03(05)_ODP[02] SELECTED PARAMETER VALUES> physical tampering or alteration of <PE-03(05)_ODP[03] hardware components> within the system.","","",""
"PE-03(06)","PE","","PE-03","6","True","PE-03-06-00","Physical Access Control | Facility Penetration Testing","[WITHDRAWN: Incorporated into CA-08.]","","",""
"PE-03(07)","PE","","PE-03","7","True","PE-03-07-00","Physical Access Control | Physical Barriers","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access control; list of physical barriers to limit access to the system; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security responsibilities].",""
"PE-03(07)","PE","","PE-03","7","True","PE-03-07-01","","physical barriers are used to limit access.","","",""
"PE-03(08)","PE","","PE-03","8","True","PE-03-08-00","Physical Access Control | Access Control Vestibules","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access control; list of access control vestibules and locations; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security responsibilities].","[SELECT FROM: Organizational processes for vestibules to prevent unauthorized access.]."
"PE-03(08)_ODP","PE","","PE-03","8","True","PE-03-08-01","","locations within the facility where access control vestibules are to be employed are defined;","","",""
"PE-03(08)","PE","","PE-03","8","True","PE-03-08-02","","access control vestibules are employed at <PE-03(08)_ODP locations>.","","",""
