term,definition,source_anchor,notes
firmware,The software embedded into a device that allows it to function.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: bios; uefi
gateway,Networking appliance that allows data to flow between different types of networks.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: router
hacker,"Someone who uses their technology skills to break into computers, systems and networks.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: attacker
hashing,Converting data into a fixed-length unreadable format that can't easily be reversed. Commonly used to protect passwords.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: cryptography; encryption; salt
honeypot,Infrastructure (such as a web server) designed to attract attackers in order to learn how better to defend systems.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: attacker
host,"A network endpoint. For example, a PC, laptop, smartphone or tablet.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
hotspot,The physical location within the range of a wifi access point that provides access to the internet.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: wifi
hypervisor,Computer software or hardware that can run and manage one or more virtual machines.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
ics,"Industrial Control System. Systems, often involved with critical national infrastructure, which control and respond to physical feedback.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: industrial control system; critical national infrastructure (cni) | see also: industrial control system; critical national infrastructure (cni)
identity provider,"An organisation (such as Google, Microsoft and Facebook) that provides online user identification on behalf of third parties.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
incident management,"Activities to identify, analyse, and determine the response to cyber security incidents, to minimise the immediate and long-term business impact.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: operational security
information assurance,"Managing the risks to data, networks and information systems",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: ia; risk management | see also: ia; risk management
infrastructure as a service (iaas),A business model where consumers access virtualised hardware and software resources over the internet.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: iaas; platform as a service (paas); software as a service (saas) | see also: iaas; platform as a service (paas); software as a service (saas)
insider threat,Deliberate or accidental threat to an organisation's security from someone who has authorised access (such as an employee).,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: attacker
internet,"The global 'network of networks' that provides a vast range of services such as the world wide web, email, social media and streaming services.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: www
