"term","definition","source_anchor","notes"
"External party","a person external to “government” as defined within the Financial Administration Act.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Fault","an error or failure in either software or hardware.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Federated Identity","A federated identity is a single user identity that can be used to access a group of web sites bound by the ties of federation. Without federated identity, users are forced to manage different credentials for every site they use. This collection of IDs and passwords becomes difficult to manage and control over time, offering inroads for identity theft. Federated identity management builds on a trust relationship established between an organization and a person.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"File Sharing Software","software programs that allow users to share music and/or videos.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Firewall","hardware or software that prevents unauthorized access to data or resources while enabling the protected network to access networks outside of the firewall, and logs attempted intrusions.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Firmware","a type of software that is etched directly into programmable read-only memory hardware that is a permanent part of a computing device.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Forensics","is a process that concentrates on gathering evidence in a systematic manner and establishing the attribution of a security incident. When applied to information technology, the process is deliberate, well- ordered and precise. The same would apply to any crime scene in which electronic devices, media and information is stored. Log-files pertaining to data packets that have traveled into and through computers and networks are examined, IP addresses are studied and data integrity is checked. The evidence that is gathered and stabilized can be used to prosecute individuals who attacked the system. Establishing a profile of the damage or breach that has occurred is essential.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Gateway","a network point that acts as an entrance to another network.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Government information","all recorded information relating to government business that any ministry, agency, board, or commission reporting or responsible to the Government of British Columbia receives, creates, deposits or holds, regardless of format.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Government network","See: **Network infrastructure**.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Government records","See: **Government information**","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Hacker","is a person who creates and modifies computer software and hardware, including computer programming, administration, and security-related items. A truly skilled hacker can penetrate the security defences of large, sophisticated, computer systems to the core, and withdraw again, without leaving a trace of the activity. **White Hat hackers** perform hacking for legitimate reasons, e.g., IT security technicians and researchers testing their systems and the limits of systems. **Black Hat hackers** are those who perform clandestine hacking for malicious reasons.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Hacktivism","some groups of computer hackers are not motivated by financial gain and instead are driven by economic, political, or religious interests that generally go beyond their nation’s borders. Their actions are called hacktivism, which is a merger of hacker and political activism. Hacktivists infiltrate networks and put their talents to work for their beliefs by organizing computer attacks, including piracy, hijacking servers, and replacing homepages with ideological messages.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Hardening","practice of reducing a system’s vulnerability by reducing its **attack surface**.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Hardware","includes (but not limited to) servers, desktop computers, printers, scanners, fax machines, photocopiers, multi-function devices, routers, communications and mobile equipment, cell phones, mobile devices and removable media.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Hijacking","describes several kinds of attacks where the attacker takes control of the session between a browser and a web server. A **browser hijack** often shows up when someone’s home page, the page they see when they open their browser, is not the one that they configured. A **web page hijack** is where the attacker manages to redirect the traffic from search engines. When someone does a search and clicks on a search result of interest, instead of reaching the legitimate site, they will reach the attacker’s web page.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Hoax","hoaxes transmitted via the Internet are not viruses but are often emails warning people about a virus or other malicious software program. These emails are successful because they are very manipulative and prey upon the trusting emotions of the victims. They can contain stories that are dramatic in impact and demand that the reader forward the email to many others. Some hoaxes cause as much trouble as viruses by causing massive amounts of unnecessary email.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Honey Pot","programs that simulate one or more network services that you designate on your computer's ports. An attacker assumes you are running vulnerable services that can be used to break into the machine. A honey pot can be used to log access attempts to those ports including the attacker's keystrokes, which could give advanced warning of a more concerted attack.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
